review_group_id,row_in_group,review_type,group_size,distinct_standard_doi_count,group_source_combo,group_journal_combo,meta_dedup_key,year,first_author,title,title_source_field,journal,source_db_group,source_db_primary,doi,registered_doi,standard_doi_key,dedup_group_size,dedup_match_basis,cited_count,institution,institution_extracted,institution_norm,review_note
C001,1,doi_conflict,3,3,WOS,FUEL,thermocouplesinapotfurnace|2013|jones|fuel,2013,Jones,Thermocouples in a pot furnace,title_cn_en,FUEL,WOS,WOS,10.1016/j.fuel.2011.06.010,,10.1016/j.fuel.2011.06.010,1,single,0.0,"Univ Aberdeen, Sch Engn, Aberdeen AB9 1FX, Scotland",Univ Aberdeen,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
C001,2,doi_conflict,3,3,WOS,FUEL,thermocouplesinapotfurnace|2013|jones|fuel,2013,Jones,Thermocouples in a pot furnace,title_cn_en,FUEL,WOS,WOS,10.1016/j.fuel.2011.06.068,,10.1016/j.fuel.2011.06.068,1,single,0.0,"Univ Aberdeen, Sch Engn, Aberdeen, Scotland",Univ Aberdeen,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
C001,3,doi_conflict,3,3,WOS,FUEL,thermocouplesinapotfurnace|2013|jones|fuel,2013,Jones,Thermocouples in a pot furnace,title_cn_en,FUEL,WOS,WOS,10.1016/j.fuel.2011.10.022,,10.1016/j.fuel.2011.10.022,1,single,0.0,"Univ Aberdeen, Sch Engn, Aberdeen AB9 1FX, Scotland",Univ Aberdeen,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
C002,1,doi_conflict,2,2,WOS,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,anumericalstudyofheattransferandfluidflowpastasingletube|2014|abdel|rehim|energysourcespartarecoveryutilizationandenvironmentaleffects,2014,Abdel-Rehim,A Numerical Study of Heat Transfer and Fluid Flow Past a Single Tube,title_cn_en,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,WOS,WOS,10.1080/15567036.2010.551257,,10.1080/15567036.2010.551257,1,single,1.0,"[Abdel-Rehim, Z. S.; Ziada, M. A.] Natl Res Ctr, Dept Mech Engn, Giza 12622, Egypt",Natl Res Ctr,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
C002,2,doi_conflict,2,2,WOS,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,anumericalstudyofheattransferandfluidflowpastasingletube|2014|abdel|rehim|energysourcespartarecoveryutilizationandenvironmentaleffects,2014,Abdel-Rehim,A Numerical Study of Heat Transfer and Fluid Flow Past a Single Tube,title_cn_en,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,WOS,WOS,10.1080/15567036.2011.551924,,10.1080/15567036.2011.551924,1,single,0.0,"[Abdel-Rehim, Z. S.; Ziada, M. A.] Natl Res Ctr, Dept Mech Engn, Giza 12622, Egypt",Natl Res Ctr,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
C003,1,doi_conflict,2,2,WOS,PETROLEUM SCIENCE AND TECHNOLOGY,athermalconductivitymodelfornanofluidsheattransferenhancement|2014|azari|petroleumscienceandtechnology,2014,Azari,A Thermal Conductivity Model for Nanofluids Heat Transfer Enhancement,title_cn_en,PETROLEUM SCIENCE AND TECHNOLOGY,WOS,WOS,10.1080/10916466.2010.551808,,10.1080/10916466.2010.551808,1,single,10.0,"[Azari, A.; Kalbasi, M.] Amirkabir Univ Technol, Dept Chem Engn, Tehran, Iran; [Moazzeni, A.; Rahman, A.] Islamic Azad Univ, Omidieh Branch, Omidieh, Iran",Amirkabir Univ Technol | Islamic Azad Univ,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
C003,2,doi_conflict,2,2,WOS,PETROLEUM SCIENCE AND TECHNOLOGY,athermalconductivitymodelfornanofluidsheattransferenhancement|2014|azari|petroleumscienceandtechnology,2014,Azari,A Thermal Conductivity Model for NanofluidsHeat Transfer Enhancement,title_cn_en,PETROLEUM SCIENCE AND TECHNOLOGY,WOS,WOS,10.1080/10916466.2014.908112,,10.1080/10916466.2014.908112,1,single,0.0,"[Azari, A.; Kalbasi, M.] Amirkabir Univ Technol, Dept Chem Engn, Tehran, Iran; [Moazzeni, A.] Islamic Azad Univ, Omidieh Branch, Omidieh, Iran; [Ashena, R.] Natl Iranian South Oil Co, Dept Petr Engn, Tehran, Iran",Amirkabir Univ Technol | Islamic Azad Univ | Natl Iranian South Oil Co,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
C004,1,doi_conflict,2,2,WOS,PETROLEUM SCIENCE AND TECHNOLOGY,biodegradationperformanceofaninnerloopthreephasefluidizedbedbioreactortotreatpetrochemicalwastewater|2014|qin|petroleumscienceandtechnology,2014,Qin,Biodegradation Performance of an Inner-Loop Three-Phase Fluidized-Bed Bioreactor to Treat Petrochemical Wastewater,title_cn_en,PETROLEUM SCIENCE AND TECHNOLOGY,WOS,WOS,10.1080/10916460903514931,,10.1080/10916460903514931,1,single,2.0,"[Qin, T. F.; Shen, B. X.; Zhou, Q. X.; Liu, J. C.] E China Univ Sci & Technol, State Key Lab Chem Engn, Shanghai 200237, Peoples R China; [Qin, T. F.] Ningbo Engn Co Ltd, SINOPEC, Ningbo, Zhejiang, Peoples R China",E China Univ Sci & Technol | Ningbo Engn Co Ltd,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
C004,2,doi_conflict,2,2,WOS,PETROLEUM SCIENCE AND TECHNOLOGY,biodegradationperformanceofaninnerloopthreephasefluidizedbedbioreactortotreatpetrochemicalwastewater|2014|qin|petroleumscienceandtechnology,2014,Qin,Biodegradation Performance of an Inner- Loop Three- Phase Fluidized- Bed Bioreactor to Treat Petrochemical Wastewater,title_cn_en,PETROLEUM SCIENCE AND TECHNOLOGY,WOS,WOS,10.1080/10916466.2014.908109,,10.1080/10916466.2014.908109,1,single,0.0,,,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
C005,1,doi_conflict,2,2,WOS,PETROLEUM SCIENCE AND TECHNOLOGY,productiondataanalysisofhorizontalwellsusingverticalwelldeclinemodelsafieldcasestudyofanoilfield|2014|zareenejad|petroleumscienceandtechnology,2014,Zareenejad,"Production Data Analysis of Horizontal Wells Using Vertical Well Decline Models, a Field Case Study of an Oil Field",title_cn_en,PETROLEUM SCIENCE AND TECHNOLOGY,WOS,WOS,10.1080/10916466.2011.586967,,10.1080/10916466.2011.586967,1,single,3.0,"[Zareenejad, M. H.] Islamic Azad Univ, Dept Petr Engn, Marvdasht Branch, Marvdasht, Iran; [Ghanavati, M.] Univ Calgary, Dept Chem & Petr Engn, Calgary, AB T2N 1N4, Canada; [Asl, A. Kalantri] Natl Iranian Oil Co, Iranian Cent Oil Field Co, Shiraz, Iran",Islamic Azad Univ | Natl Iranian Oil Co | Univ Calgary,,Same strict meta key but multiple distinct standard DOI keys; kept separate for manual review.
